id,name,markers,location,meaning,tagline,timestamp
41,Pirithous,[],"Larissa, Thessaly","""to run around""",King of the Lapiths | fathered Polypoetes with Hippodamia; son of Ixion and Dia,2026-03-19 19:08:32.115927+00
42,Phoenix,[],"Ormenium, Thessaly",,King of the Dolopians | son of Amyntor and Cleobule; brother of Crantor,2026-03-19 19:08:32.115927+00
43,Peleus,[],"Aegina, Attica",,King of Phthia | fathered Achilles with Thetis; brother of Telamon,2026-03-19 19:08:32.115927+00
44,Laertes,[],"Ithaca, Ionian Islands","""people gatherer""",King of Ithaca | fathered Odysseus with Anticlea,2026-03-19 19:08:32.115927+00
45,Eurytion,[],"Phthia, Thessaly",,King of Phthia | son of Demonassa and Irus,2026-03-19 19:08:32.115927+00
46,Castor,[],"Sparta, Laconia","""to shine""",Prince of Sparta | son of Leda and Tyndareus; brother of Clytemnestra; half-brother of Helen and Pollux,2026-03-19 19:08:32.115927+00
47,Pollux,"[""Demigod""]","Sparta, Laconia","""sweet, loved""",Prince of Sparta | son of Leda and Zeus; brother of Helen; half-brother of Castor and Clytemnestra,2026-03-19 19:08:32.115927+00
48,Alcon,[],"Amyclae, Laconia","""strength, courage""",Prince of Sparta | son of Hippocoön; brother of Leucippus,2026-03-19 19:08:32.115927+00
49,Leucippus,[],"Amyclae, Laconia","""shining horse""",Prince of Sparta | son of Hippocoön; brother of Alcon,2026-03-19 19:08:32.115927+00
50,Althaea,[],"Pleuron, Aetolia",,"Queen of Calydon | mothered Meleager with Oeneus; daughter of Eurythemis and Thestius; sister of Leda, Plexippus, and Toxeus",2026-03-19 19:08:32.115927+00
51,Oeneus,[],"Calydon, Aetolia",,King of Calydon | fathered Meleager with Althaea,2026-03-19 19:08:32.115927+00
52,Plexippus,[],"Pleuron, Aetolia",,"Noble of Pleuron | son of Eurythemis and Thestius; brother of Althaea, Leda, and Toxeus",2026-03-19 19:08:32.115927+00
53,Toxeus,[],"Pleuron, Aetolia",,"Noble of Pleuron | son of Eurythemis and Thestius; brother of Althaea, Leda, and Plexippus",2026-03-19 19:08:32.115927+00
54,Ajax the Great,[],"Salamis, Attica",,Prince of Salamis | son of Periboea (Salamis) and Telamon; half-brother of Teucer,2026-03-19 19:08:32.115927+00
57,Teucer,[],"Salamis, Attica",,Prince of Salamis | son of Telamon and Hesione; half-brother of Ajax the Great,2026-03-19 19:08:32.115927+00
60,Antilochus,[],"Pylos, Messenia",,"Prince of Pylos | son of Eurydice and Nestor; brother of Peisistratus, Polycaste, and Thrasymedes",2026-03-19 19:08:32.115927+00
63,Polypoetes,[],"Larissa, Thessaly","""maker of many""",Prince of Thessaly | son of Hippodamia and Pirithous,2026-03-19 19:08:32.115927+00
64,Idomeneus,[],"Knossos, Crete",,King of Crete | son of Deucalion and Cleopatra,2026-03-19 19:08:32.115927+00
65,Automedon,[],"Skyros, Euboea",,Charioteer of Skyros,2026-03-19 19:08:32.115927+00
66,Thrasymedes,[],"Pylos, Messenia",,"Prince of Pylos | son of Eurydice and Nestor; brother of Antilochus, Peisistratus, and Polycaste",2026-03-19 19:08:32.115927+00
70,Briseis,[],"Lyrnessus, Troad",,Noble of Lyrnessus,2026-03-19 19:08:32.115927+00
71,Andromache,[],"Thebe, Troad",,Princess of Thebe | mothered Astyanax with Hector,2026-03-19 19:08:32.115927+00
96,Artemis,"[""Deity""]",Mount Olympus,,"deity of hunting and chastity | daughter of Zeus and Leto; sister of Apollo; half-sister of Ares, Aphrodite, Athena, Hephaestus, Heracles, Hermes, and Sarpedon",2026-03-19 19:08:32.115927+00
99,Menestheus,[],"Athens, Attica",,King of Athens,2026-03-19 19:08:32.115927+00
197,Agenor,[],"Troy, Troad",,"Noble of Troy | son of Antenor and Theano; brother of Archelochus, Coön, and Iphidamas",2026-03-19 19:08:32.115927+00
201,Antenor,[],"Dardania, Troad",,"Elder of Troy | fathered Agenor, Archelochus, Coön, and Iphidamas with Theano",2026-03-19 19:08:32.115927+00
203,Aphrodite,"[""Deity""]",Mount Olympus,,"deity of love and beauty | mothered Aeneas with Anchises; daughter of Zeus and Dione; half-sister of Ares, Apollo, Artemis, Athena, Hephaestus, Heracles, Hermes, and Sarpedon",2026-03-19 19:08:32.115927+00
